,country,year,gdp,fdi,remit(% of gdp),gdp growth (annual %),own_acount ,tcr,lend_rate,m2,credit_priv,trade,iso,region,income group,gov_stab,corup,inf,p_gap,ka_open,fd,clusters
0,Afghanistan,2021,17083574409.0529,0.139319462125938,,-20.7371456208414,14.79,,,,,,AFG,South Asia,Low income,,,,,,,1
1,Afghanistan,2020,21553064853.4717,0.0643889355453321,3.91649604537524,-2.35110067344623,,,,37.2094633939287,3.07193594636071,,AFG,South Asia,Low income,,,5.607,,,,1
2,Afghanistan,2019,22071999789.1576,0.123804203772499,4.3829370302392,3.911603419423,,,,34.9592143142587,3.22995723026215,,AFG,South Asia,Low income,,,2.302,,,,1
3,Afghanistan,2018,21241130983.2911,0.648439597159199,4.36263136932817,1.18922812838034,,,,36.6074938854128,3.51231703339133,,AFG,South Asia,Low income,,,0.626,,,,1
4,Afghanistan,2017,20991494229.3483,0.272718759182542,4.35391777889355,2.64700320195786,22.54,,14.8366666666667,36.8612612972957,3.84188120492596,,AFG,South Asia,Low income,,,4.976,,,,1
5,Afghanistan,2016,20450177379.3119,0.519387403147856,3.48349718699431,2.26031420130452,,,15.0,37.2228186582708,3.88832174612488,,AFG,South Asia,Low income,,,4.384,,,,1
6,Afghanistan,2015,19998156214.3988,0.845811014708514,1.74328429863767,1.45131466009755,,,15.0,33.9280526549766,3.98149379462535,,AFG,South Asia,Low income,,,-0.662,,,,1
7,Afghanistan,2014,19712072023.3154,0.209119434856893,1.23289847652735,2.72454336394854,15.78,,15.0,34.2095967895183,3.94105709996345,,AFG,South Asia,Low income,,,4.674,,,,1
8,Afghanistan,2013,19189252517.2649,0.234926111766299,1.68817884200763,5.60074465808154,,,15.0791666666667,32.6820168994225,4.3216854169302,,AFG,South Asia,Low income,,,7.386,,,,1
9,Afghanistan,2012,18171512501.5422,0.281255499281746,1.08602615943862,12.7522870887171,,,15.0,32.9136922701029,4.47210362973721,,AFG,South Asia,Low income,,,6.441,,,,1
10,Afghanistan,2011,16116313886.6037,0.286818266582787,0.984675734609168,0.426354784529209,15.42,,15.1458333333333,36.6242278045429,4.95918037606027,,AFG,South Asia,Low income,,,11.804,,,,1
11,Afghanistan,2010,16047892927.2921,1.22026467671187,2.41915134678451,14.3624414692681,,,15.6122222222222,35.3505617153186,11.5750442390122,,AFG,South Asia,Low income,,,2.179,,,,1
12,Afghanistan,2009,14032485421.8896,0.461604318218299,1.15752421242988,21.3905283931066,,,15.0,33.0609569578245,10.58413068423,,AFG,South Asia,Low income,,,-6.811,,,,1
13,Afghanistan,2008,11559786095.0463,0.449119854161372,0.87358506033639,3.92498382161573,,,14.9175,29.5122807993009,9.38832772083979,,AFG,South Asia,Low income,,,26.419,,,,1
14,Afghanistan,2007,11123202207.9391,1.94210198645613,0.0,13.8263195479763,,,18.135,23.833664421484,6.83998223656721,,AFG,South Asia,Low income,,,8.681,,,,1
15,Afghanistan,2006,9772082811.87623,3.41395868542516,0.0,5.35740325126351,,,17.97,23.3438645266527,4.84285686566253,,AFG,South Asia,Low income,,,6.785,,,,1
16,Afghanistan,2005,9275174321.23028,4.35257512887185,0.0,11.2297148236429,,,,,,,AFG,South Asia,Low income,,,10.569,,,,1
17,Afghanistan,2004,8338755822.52123,3.57989488419472,,1.41411798058979,,,,,,,AFG,South Asia,Low income,,,16.358,,,,1
18,Afghanistan,2003,8222480250.84361,1.27326773088894,,8.83227781263571,,,,,,,AFG,South Asia,Low income,,,35.663,,,,1
19,Afghanistan,2002,7555185296.22188,1.29727420799131,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
20,Afghanistan,2001,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
21,Afghanistan,2000,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
22,Afghanistan,1999,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
23,Afghanistan,1998,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
24,Afghanistan,1997,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
25,Afghanistan,1996,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
26,Afghanistan,1995,,,,,,,,,,,AFG,South Asia,Low income,,,,,,,1
27,Afghanistan,1994,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
28,Afghanistan,1993,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
29,Afghanistan,1992,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
30,Afghanistan,1991,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
31,Afghanistan,1990,,,,,,,,,,,AFG,South Asia,Low income,,,,,0.0,,1
32,Angola,2021,79346278571.5219,-6.46118626830981,0.0187393856283829,1.09999999999965,,,19.4031546297083,,,60.4730653435979,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,1
33,Angola,2020,78482965946.1149,-3.48097792643824,0.0150190041863511,-5.60000000041939,,,19.6558949254322,37.5457631659884,12.8600469797033,51.8874459204056,AGO,Sub-Saharan Africa,Lower middle income,,,22.277,,0.0,0.14306464791297913,1
34,Angola,2019,83138735112.7792,-5.91333338289549,0.00497116967790612,-0.69999999780272,,,19.295367205655,33.6927339334333,15.3409215605835,57.8295381183036,AGO,Sub-Saharan Africa,Lower middle income,,,17.079,23.59346,0.0,0.1438843309879303,1
35,Angola,2018,83724808772.3459,-8.29905135606258,0.00203006475808284,-1.31631210213166,,,20.6770040277157,30.6464405237236,14.9352704887729,66.3780133263399,AGO,Sub-Saharan Africa,Lower middle income,7.166666666666667,1.375,19.629,22.32624,0.0,0.14063353836536407,1
36,Angola,2017,84841588874.3396,-10.7249505478881,0.00205616774913769,-0.149999999638098,,,15.8061003813255,32.1865210912766,17.0006850586294,52.2568271631211,AGO,Sub-Saharan Africa,Lower middle income,6.833333333333333,1,29.844,19.57518,0.0,0.14558102190494537,1
37,Angola,2016,84969042437.6887,-0.360184289272602,0.0080016233502695,-2.5799999964437,,,15.7805039391116,39.1623080560863,21.0984099001473,53.3701580675988,AGO,Sub-Saharan Africa,Lower middle income,6.541666666666667,1,30.694,17.627599999999997,0.0,0.15107859671115875,1
38,Angola,2015,87219300384.5072,11.4977019059198,0.0127434083408153,0.939999999384781,,,16.8818623998822,40.9446599162018,25.2401083054984,62.8885160890192,AGO,Sub-Saharan Africa,Lower middle income,6.916666666666667,1,9.159,16.14843,0.0,0.14515702426433563,1
39,Angola,2014,86407073890.4684,2.66496383453372,0.0225663928309607,4.81999999862724,36.13,,16.3822709411366,35.6755532005176,,79.3329227828897,AGO,Sub-Saharan Africa,Lower middle income,7.083333333333333,1.4583333333333333,7.298,14.749770000000002,0.0,0.13085749745368958,1
40,Angola,2013,82433766353.3677,-5.3372810761299,0.0274640005166924,4.9499999975523,,,15.8086382955866,33.3315474060548,,86.8119327587926,AGO,Sub-Saharan Africa,Lower middle income,8.375,1.5,8.782,14.21611,0.0,0.14001023769378662,1
41,Angola,2012,78545751648.6805,-1.17171916561076,0.0322795452662395,8.54000000289987,,,16.6564013212232,31.5177312017641,,91.8000973419114,AGO,Sub-Saharan Africa,Lower middle income,8.166666666666666,1.6666666666666667,10.285,13.69668,0.0,0.1296529471874237,1
42,Angola,2011,72365719224.7854,-2.7630352926289,0.000187095690082471,3.47000000135648,39.48,,18.7572405365757,34.9788715890949,,99.9825063313368,AGO,Sub-Saharan Africa,Lower middle income,8.75,2,13.484,13.70044,0.0,0.1392429620027542,1
43,Angola,2010,69938841426.3426,-3.95009776146954,0.0219977246945622,4.85999999863851,,,22.5435720221269,34.7747524653276,,104.123648293074,AGO,Sub-Saharan Africa,Lower middle income,10.25,2,14.48,12.939130000000002,0.0,0.15028612315654755,1
44,Angola,2009,66697350207.1816,3.13666198790205,0.000230927382057149,0.860000002152788,,,15.682074235437,45.6081681117929,,122.446126209604,AGO,Sub-Saharan Africa,Lower middle income,10.5,2,13.721,12.46207,0.0,0.15222980082035065,1
45,Angola,2008,66128643868.489,1.89631505930415,0.0927098350125306,11.1699999942146,,,12.533605759663,31.5205041653311,,121.364708453698,AGO,Sub-Saharan Africa,Lower middle income,9.833333333333334,2,12.465,11.16218,0.0,0.1390247792005539,1
46,Angola,2007,59484252830.737,-1.36876162792796,0.0,14.0100000086059,,,17.6988356005955,20.4468711883162,,108.060067893978,AGO,Sub-Saharan Africa,Lower middle income,9.5,2,12.249,12.29587,0.0,0.12639005482196808,1
47,Angola,2006,52174592427.1967,-0.0720010214346084,0.0,11.549999997879,,,19.5108144527911,16.2733257364948,,94.6251593320477,AGO,Sub-Saharan Africa,Lower middle income,9.625,2,13.305,13.91519,0.16350177,0.11471842229366302,1
48,Angola,2005,46772382275.3821,-3.52665547915197,0.0,15.0299999905513,,,67.7181307369684,13.2998188926253,,106.590962129525,AGO,Sub-Saharan Africa,Lower middle income,10,2,22.961,14.937360000000002,0.16350177,0.10558374971151352,1
